manufacturer,series,base_part_number,part_number,inductance_uh,tolerance_pct,dcr_typ_mohm,dcr_max_mohm,srf_typ_mhz,isat_10pct_a,isat_20pct_a,isat_30pct_a,irms_20c_a,irms_40c_a,spec_temp_c,test_freq_mhz,test_voltage_vrms,test_dc_bias_a,series_url,datasheet_url,datasheet_document,datasheet_revision,datasheet_sha256
Coilcraft,XEL4030,XEL4030-101,XEL4030-101MEC,0.1,20,1.5,1.8,240,,,30,20.4,25.8,25,1,0.1,0,https://www.coilcraft.com/en-us/products/power/shielded-inductors/molded-inductor/xel/xel4030/,https://www.coilcraft.com/getmedia/8245f050-f190-4295-8c41-7c03d662ee3d/xel4030.pdf,1321-1,2026-02-19,9764cf540f92fc19453469e99eb9d1a3d2ff1757c25c97e17be82e9a4854626e
Coilcraft,XEL4030,XEL4030-201,XEL4030-201MEC,0.2,20,2.15,2.4,155,,,22,17,21.6,25,1,0.1,0,https://www.coilcraft.com/en-us/products/power/shielded-inductors/molded-inductor/xel/xel4030/,https://www.coilcraft.com/getmedia/8245f050-f190-4295-8c41-7c03d662ee3d/xel4030.pdf,1321-1,2026-02-19,9764cf540f92fc19453469e99eb9d1a3d2ff1757c25c97e17be82e9a4854626e
Coilcraft,XEL4030,XEL4030-301,XEL4030-301MEC,0.3,20,2.8,3.1,115,,,19,14.9,18.9,25,1,0.1,0,https://www.coilcraft.com/en-us/products/power/shielded-inductors/molded-inductor/xel/xel4030/,https://www.coilcraft.com/getmedia/8245f050-f190-4295-8c41-7c03d662ee3d/xel4030.pdf,1321-1,2026-02-19,9764cf540f92fc19453469e99eb9d1a3d2ff1757c25c97e17be82e9a4854626e
Coilcraft,XEL4030,XEL4030-471,XEL4030-471MEC,0.47,20,4.1,4.6,95,,,15.5,12.3,15.6,25,1,0.1,0,https://www.coilcraft.com/en-us/products/power/shielded-inductors/molded-inductor/xel/xel4030/,https://www.coilcraft.com/getmedia/8245f050-f190-4295-8c41-7c03d662ee3d/xel4030.pdf,1321-1,2026-02-19,9764cf540f92fc19453469e99eb9d1a3d2ff1757c25c97e17be82e9a4854626e
Coilcraft,XEL4030,XEL4030-641,XEL4030-641MEC,0.64,20,5.3,5.9,80,,,13.5,10.9,13.7,25,1,0.1,0,https://www.coilcraft.com/en-us/products/power/shielded-inductors/molded-inductor/xel/xel4030/,https://www.coilcraft.com/getmedia/8245f050-f190-4295-8c41-7c03d662ee3d/xel4030.pdf,1321-1,2026-02-19,9764cf540f92fc19453469e99eb9d1a3d2ff1757c25c97e17be82e9a4854626e
Coilcraft,XEL4030,XEL4030-901,XEL4030-901MEC,0.9,20,8,8.8,68,,,10,8.8,11.2,25,1,0.1,0,https://www.coilcraft.com/en-us/products/power/shielded-inductors/molded-inductor/xel/xel4030/,https://www.coilcraft.com/getmedia/8245f050-f190-4295-8c41-7c03d662ee3d/xel4030.pdf,1321-1,2026-02-19,9764cf540f92fc19453469e99eb9d1a3d2ff1757c25c97e17be82e9a4854626e
Coilcraft,XEL4030,XEL4030-102,XEL4030-102MEC,1,20,8.89,9.78,65,,,9,8.4,10.7,25,1,0.1,0,https://www.coilcraft.com/en-us/products/power/shielded-inductors/molded-inductor/xel/xel4030/,https://www.coilcraft.com/getmedia/8245f050-f190-4295-8c41-7c03d662ee3d/xel4030.pdf,1321-1,2026-02-19,9764cf540f92fc19453469e99eb9d1a3d2ff1757c25c97e17be82e9a4854626e
Coilcraft,XEL4030,XEL4030-122,XEL4030-122MEC,1.2,20,10.4,11.5,60,,,8.7,7.8,9.8,25,1,0.1,0,https://www.coilcraft.com/en-us/products/power/shielded-inductors/molded-inductor/xel/xel4030/,https://www.coilcraft.com/getmedia/8245f050-f190-4295-8c41-7c03d662ee3d/xel4030.pdf,1321-1,2026-02-19,9764cf540f92fc19453469e99eb9d1a3d2ff1757c25c97e17be82e9a4854626e
Coilcraft,XEL4030,XEL4030-152,XEL4030-152MEC,1.5,20,15.1,16.6,58,,,8.5,6.4,8.1,25,1,0.1,0,https://www.coilcraft.com/en-us/products/power/shielded-inductors/molded-inductor/xel/xel4030/,https://www.coilcraft.com/getmedia/8245f050-f190-4295-8c41-7c03d662ee3d/xel4030.pdf,1321-1,2026-02-19,9764cf540f92fc19453469e99eb9d1a3d2ff1757c25c97e17be82e9a4854626e
Coilcraft,XEL4030,XEL4030-222,XEL4030-222MEC,2.2,20,20.1,22.1,40,,,6.1,5.8,7.8,25,1,0.1,0,https://www.coilcraft.com/en-us/products/power/shielded-inductors/molded-inductor/xel/xel4030/,https://www.coilcraft.com/getmedia/8245f050-f190-4295-8c41-7c03d662ee3d/xel4030.pdf,1321-1,2026-02-19,9764cf540f92fc19453469e99eb9d1a3d2ff1757c25c97e17be82e9a4854626e
Coilcraft,XEL4030,XEL4030-332,XEL4030-332MEC,3.3,20,26.1,28.6,35,,,5.9,5,6.6,25,1,0.1,0,https://www.coilcraft.com/en-us/products/power/shielded-inductors/molded-inductor/xel/xel4030/,https://www.coilcraft.com/getmedia/8245f050-f190-4295-8c41-7c03d662ee3d/xel4030.pdf,1321-1,2026-02-19,9764cf540f92fc19453469e99eb9d1a3d2ff1757c25c97e17be82e9a4854626e
Coilcraft,XEL4030,XEL4030-472,XEL4030-472MEC,4.7,20,40,44.1,30,,,4.6,3.9,5.1,25,1,0.1,0,https://www.coilcraft.com/en-us/products/power/shielded-inductors/molded-inductor/xel/xel4030/,https://www.coilcraft.com/getmedia/8245f050-f190-4295-8c41-7c03d662ee3d/xel4030.pdf,1321-1,2026-02-19,9764cf540f92fc19453469e99eb9d1a3d2ff1757c25c97e17be82e9a4854626e
Coilcraft,XEL4030,XEL4030-682,XEL4030-682MEC,6.8,20,67.4,74.1,20,,,3.6,3,3.9,25,1,0.1,0,https://www.coilcraft.com/en-us/products/power/shielded-inductors/molded-inductor/xel/xel4030/,https://www.coilcraft.com/getmedia/8245f050-f190-4295-8c41-7c03d662ee3d/xel4030.pdf,1321-1,2026-02-19,9764cf540f92fc19453469e99eb9d1a3d2ff1757c25c97e17be82e9a4854626e
Coilcraft,XGL6060,XGL6060-221,XGL6060-221MEC,0.22,20,1.1,1.3,125,17.8,28.5,38,35.5,48,25,1,0.1,0,https://www.coilcraft.com/en-us/products/power/shielded-inductors/molded-inductor/xgl/xgl6060/,https://www.coilcraft.com/getmedia/329fe97c-7311-4726-9bf3-37718f42b168/xgl6060.pdf,1621-1,2026-02-19,ac31402b202cb110237dedf38bc057e5f7e84f965aeaadd2dfe24e7a92bf127b
